id;first_name;last_name;middle_name;gender;birthdate;phone_number;email;hemis_id;passport_number;jshshir;is_active;tution_type;nationality;country;city;region;address_line;course;semester;education_language;education_type;education_form
1;Judge;Swift;these over cutlet;consecrate calendar mmm;even;but hesitate slander;Lola.Halvorson64@gmail.com;13274;phooey transform;soon hobble;true;KONTRAKT;till louse;United Arab Emirates;Shannastead;equally until;flight;2673;6148;UZBEK;KUNDUZGI;MAGISTR
2;Cristal;Yost;meanwhile sardonic;welcome jeweller instinct;pension rate;over er commandment;Orlando73@hotmail.com;21775;expression;explode acidly where;false;GRANT;pish aboard;Equatorial Guinea;Fort Karinefurt;from;minus;27414;5566;RUSSIAN;KECHKI;BAKALAVR
3;Sandra;Hilll;incidentally phew;aboard;than;uselessly strain only;Madaline.Brakus76@gmail.com;19986;within now;that;true;KONTRAKT;inhabit;Macao;West Austyn;upliftingly;encamp;28920;2340;ENGLISH;KUNDUZGI;MAGISTR
4;Allan;Nader;benchmark help;elegantly sans yet;scarily ugh whiten;unripe that answer;Brannon7@yahoo.com;3435;eager daintily fiercely;pro dear;false;GRANT;next;Cuba;East Godfrey;uncomfortable;capitulation even;23375;25361;RUSSIAN;KUNDUZGI;MAGISTR
5;Zander;Kuphal;surprisingly favorite;bah ship;arithmetic referee about;psst zowie;Gerald17@gmail.com;13089;yet save;salmon;true;GRANT;hence;Paraguay;Paramount;whereas victim mortise;rudely while;9068;18059;UZBEK;SIRTQI;BAKALAVR
6;Johnathon;Rosenbaum;whoever;client;beneath prove;kookily because;Opal29@gmail.com;3413;ew always;soulful;false;KONTRAKT;and homogenate;Iceland;North Dorian;taste;huzzah besides;10020;30921;ENGLISH;KECHKI;MAGISTR
7;Angelina;Bauch;fondly;pish stravaig;but misjudge;charter consequently;Eladio.Kuphal46@gmail.com;22215;boiling dive swan;robe;true;GRANT;recuperate oh legend;Guinea-Bissau;Elmerhaven;booklet;outside;1258;14182;RUSSIAN;KUNDUZGI;MAGISTR
8;Libbie;Boehm;yahoo positively clear-cut;coolly;modulo;given;Elmira_DuBuque38@gmail.com;32256;semantics lest examiner;spherical;false;GRANT;automatic north to;Spain;Lake Michele;whether urgently;powerless solemnly vigorous;11660;19902;UZBEK;KECHKI;MAGISTR
9;Carlo;Brekke;consequently maestro;even when misread;meanwhile fondly burdensome;scribble;Danika.Tremblay60@yahoo.com;13193;few;usefully put;false;GRANT;sociology likable;French Guiana;Keeblerland;below yuck;pottery;7323;8351;RUSSIAN;KECHKI;BAKALAVR
10;Cassandre;Flatley;stiletto;supposing however provoke;mid forenenst;whiten wildly necessary;Francis23@hotmail.com;14123;leeway;retina founder;true;GRANT;wary oh whereas;Curacao;Ansleyborough;hepatitis whose;through obnoxiously;12988;16580;RUSSIAN;KUNDUZGI;MAGISTR
